trace_id,event_id,org:group,resource country,organization country,resource,organization involved,org:role,impact,product,timestamp,activity
1-109135791,0,Org line A2,INDIA,se,Minnie,J11 2nd,A2_2,High,PROD191,2006-01-11 14:49:42+00:00,Queued_Awaiting Assignment
1-109135791,1,Org line A2,INDIA,se,Minnie,J11 2nd,A2_2,High,PROD191,2012-03-15 10:53:52+00:00,Accepted_In Progress
1-109135791,2,Org line A2,INDIA,se,Minnie,J11 2nd,A2_2,High,PROD191,2012-03-15 10:56:17+00:00,Accepted_Assigned
1-109135791,3,Org line A2,INDIA,se,Minnie,J11 2nd,A2_2,High,PROD191,2012-03-15 11:09:05+00:00,Accepted_In Progress
1-109135791,4,Org line A2,INDIA,se,Minnie,J11 2nd,A2_2,High,PROD191,2012-03-15 11:11:33+00:00,Completed_Closed
1-147898401,0,Org line A2,Sweden,cn,Tomas,M1 2nd,A2_2,Medium,PROD753,2006-11-07 09:00:36+00:00,Accepted_In Progress
1-147898401,1,Org line A2,Sweden,cn,Tomas,M1 2nd,A2_2,Medium,PROD753,2006-11-07 12:05:44+00:00,Accepted_In Progress
1-147898401,2,Org line A2,Sweden,cn,Tomas,M1 2nd,A2_2,Medium,PROD753,2009-12-02 13:24:32+00:00,Accepted_Wait
1-147898401,3,Org line A2,Sweden,cn,Tomas,M1 2nd,A2_2,Medium,PROD753,2011-09-03 05:09:09+00:00,Accepted_In Progress
1-147898401,4,Org line A2,China,cn,Carrie,M1 2nd,A2_2,Medium,PROD753,2012-01-20 09:23:24+00:00,Accepted_In Progress
1-147898401,5,Org line A2,China,cn,Carrie,M1 2nd,A2_2,Medium,PROD753,2012-01-20 09:23:27+00:00,Completed_Closed
1-165554831,0,Org line A2,Sweden,cn,Tomas,M1 2nd,A2_2,Medium,PROD753,2007-03-20 08:06:25+00:00,Accepted_In Progress
1-165554831,1,Org line A2,Sweden,cn,Tomas,M1 2nd,A2_2,Medium,PROD753,2009-12-02 13:24:31+00:00,Accepted_Wait
1-165554831,2,Org line A2,Sweden,cn,Tomas,M1 2nd,A2_2,Medium,PROD753,2011-09-03 05:10:53+00:00,Accepted_In Progress
1-165554831,3,Org line A2,China,cn,Carrie,M1 2nd,A2_2,Medium,PROD753,2012-01-18 07:52:41+00:00,Accepted_In Progress
1-165554831,4,Org line A2,China,cn,Carrie,M1 2nd,A2_2,Medium,PROD753,2012-01-18 07:52:43+00:00,Completed_Closed
1-172473423,0,Org line A2,Sweden,cn,Tomas,M1 2nd,A2_2,Low,PROD753,2007-05-10 14:21:54+00:00,Accepted_In Progress
1-172473423,1,Org line A2,Sweden,cn,Tomas,M1 2nd,A2_2,Low,PROD753,2009-12-02 13:24:33+00:00,Accepted_Wait
1-172473423,2,Org line A2,Sweden,cn,Tomas,M1 2nd,A2_2,Low,PROD753,2011-09-03 05:10:59+00:00,Accepted_In Progress
1-172473423,3,Org line A2,China,cn,Carrie,M1 2nd,A2_2,Low,PROD753,2012-01-18 07:20:53+00:00,Accepted_In Progress
1-172473423,4,Org line A2,China,cn,Carrie,M1 2nd,A2_2,Low,PROD753,2012-01-18 07:21:10+00:00,Completed_Closed
1-182640781,0,Org line A2,Sweden,se,Niklas,G167 2nd,A2_2,Medium,PROD681,2007-07-25 12:21:05+00:00,Accepted_In Progress
1-182640781,1,Org line A2,Sweden,se,Niklas,G167 2nd,A2_2,Medium,PROD681,2009-12-02 13:24:32+00:00,Accepted_Wait
1-182640781,2,Org line A2,Sweden,se,Niklas,G167 2nd,A2_2,Medium,PROD681,2010-08-25 09:13:01+00:00,Queued_Awaiting Assignment
1-182640781,3,Org line A2,Sweden,se,Niklas,M1 2nd,A2_2,Medium,PROD681,2011-09-05 07:24:13+00:00,Accepted_In Progress
1-182640781,4,Org line A2,Sweden,se,Niklas,G167 2nd,A2_2,Medium,PROD681,2011-11-14 15:10:25+00:00,Accepted_Assigned
1-182640781,5,Org line A2,Sweden,se,Niklas,G167 2nd,A2_2,Medium,PROD681,2012-01-03 10:30:35+00:00,Accepted_In Progress
1-182640781,6,Org line A2,Sweden,se,Niklas,G167 2nd,A2_2,Medium,PROD681,2012-01-03 10:31:53+00:00,Completed_Closed
1-230541365,0,Org line A2,Sweden,cn,Tomas,M1 2nd,A2_2,High,PROD753,2008-05-07 16:58:51+00:00,Accepted_In Progress
1-230541365,1,Org line A2,Sweden,cn,Tomas,M1 2nd,A2_2,High,PROD753,2008-10-06 14:44:37+00:00,Accepted_In Progress
1-230541365,2,Org line A2,Sweden,cn,Tomas,M1 2nd,A2_2,High,PROD753,2009-12-02 13:24:34+00:00,Accepted_Wait
1-230541365,3,Org line A2,Sweden,cn,Tomas,M1 2nd,A2_2,High,PROD753,2011-09-01 22:27:50+00:00,Accepted_In Progress
1-230541365,4,Org line A2,Sweden,cn,Tomas,M1 2nd,A2_2,High,PROD753,2011-09-01 22:27:55+00:00,Accepted_In Progress
1-230541365,5,Org line A2,China,cn,Carrie,M1 2nd,A2_2,High,PROD753,2012-01-20 06:53:32+00:00,Accepted_In Progress
1-230541365,6,Org line A2,China,cn,Carrie,M1 2nd,A2_2,High,PROD753,2012-01-20 06:53:35+00:00,Completed_Closed
1-236817141,0,Org line A2,Sweden,cn,Tomas,G167 2nd,A2_2,Medium,PROD681,2008-06-04 10:02:18+00:00,Accepted_In Progress
