trace_id,event_id,activity,timestamp,resource
3004646,0,01_HOOFD_0,2010-10-25 12:30:04+00:00,560922
3004646,1,01_HOOFD_1,2010-10-25 12:31:34+00:00,560922
3004646,2,01_HOOFD_2,2010-10-25 12:31:39+00:00,560922
3004646,3,08_AWB45_0,2010-11-02 09:14:44+00:00,560922
3004646,4,08_AWB45_1,2010-11-02 09:15:22+00:00,560922
3004646,5,01_HOOFD_1,2010-11-02 09:15:34+00:00,560922
3004646,6,01_HOOFD_2,2010-11-02 09:15:45+00:00,560922
3004646,7,09_AH_I_0,2010-11-02 09:15:49+00:00,560922
3004646,8,01_HOOFD_3,2010-11-02 09:15:54+00:00,560922
3004646,9,01_HOOFD_4,2010-11-02 09:16:06+00:00,560922
3007101,0,01_HOOFD_0,2010-10-11 09:02:01+00:00,560749
3007101,1,08_AWB45_0,2010-10-24 22:00:00+00:00,560922
3007101,2,01_HOOFD_1,2010-10-25 12:40:11+00:00,560922
3007101,3,01_HOOFD_2,2010-10-25 12:40:48+00:00,560922
3007101,4,08_AWB45_0,2010-10-25 12:52:59+00:00,560922
3018942,0,01_HOOFD_0,2010-10-13 12:08:40+00:00,560741
3018942,1,01_HOOFD_0,2010-11-08 07:51:48+00:00,560696
3018942,2,01_HOOFD_0,2010-11-09 23:00:00+00:00,2013365
3018942,3,01_HOOFD_1,2010-11-09 23:00:00+00:00,2013365
3018942,4,01_HOOFD_0,2010-11-10 15:10:52+00:00,2013365
3018942,5,01_HOOFD_1,2010-11-10 15:12:30+00:00,2013365
3018942,6,01_HOOFD_2,2010-11-10 15:12:53+00:00,2013365
3018942,7,01_HOOFD_3,2010-11-10 15:13:01+00:00,2013365
3018942,8,09_AH_I_0,2010-11-10 15:13:10+00:00,2013365
3018942,9,01_HOOFD_3,2010-11-10 15:13:19+00:00,2013365
3018942,10,01_HOOFD_4,2010-11-10 15:13:40+00:00,2013365
3018942,11,05_EIND_0,2010-11-10 15:13:50+00:00,2013365
3018942,12,06_VD_0,2010-11-10 15:13:59+00:00,2013365
3018942,13,01_HOOFD_4,2010-11-10 15:47:35+00:00,2013365
3018942,14,01_HOOFD_4,2010-11-11 23:00:00+00:00,560673
3018942,15,01_HOOFD_5,2010-11-15 12:40:18+00:00,560673
3025465,0,01_HOOFD_0,2010-10-17 22:00:00+00:00,560749
3025465,1,01_HOOFD_1,2010-10-26 22:00:00+00:00,560749
3025465,2,01_HOOFD_0,2010-10-27 14:06:25+00:00,560749
3025465,3,04_BPT_0,2010-10-27 14:06:49+00:00,560749
3025465,4,01_HOOFD_0,2010-10-27 14:06:59+00:00,560749
3025465,5,06_VD_0,2010-10-27 14:07:15+00:00,560749
3025465,6,01_HOOFD_1,2010-10-27 14:12:44+00:00,560749
3025465,7,01_HOOFD_0,2010-10-27 14:13:05+00:00,560749
3025465,8,05_EIND_0,2010-10-27 14:13:20+00:00,560749
3025465,9,01_HOOFD_1,2010-10-27 14:13:52+00:00,560749
3025465,10,01_HOOFD_4,2010-11-04 23:00:00+00:00,560749
3025465,11,01_HOOFD_1,2010-11-04 23:00:00+00:00,560749
3025465,12,01_HOOFD_4,2010-11-04 23:00:00+00:00,560749
3025465,13,10_UOV_0,2010-11-04 23:00:00+00:00,560749
3025465,14,01_HOOFD_5,2010-11-04 23:00:00+00:00,560749
3025465,15,01_HOOFD_1,2011-01-24 10:38:22+00:00,560749
3025465,16,01_HOOFD_2,2011-01-24 10:38:52+00:00,560749
3025465,17,09_AH_I_0,2011-01-24 10:38:57+00:00,560749
3025465,18,01_HOOFD_3,2011-01-24 10:39:06+00:00,560749
3025465,19,01_HOOFD_4,2011-01-24 10:39:55+00:00,560749
3025465,20,10_UOV_0,2011-01-24 10:40:33+00:00,560749
3025465,21,01_HOOFD_4,2011-01-24 10:40:43+00:00,560749
3025465,22,01_HOOFD_5,2011-01-24 10:41:06+00:00,560749
3025465,23,01_BB_6,2011-01-24 10:43:19+00:00,560749
3025465,24,01_BB_7,2011-01-24 10:43:20+00:00,560749
3025465,25,01_HOOFD_7,2011-01-24 10:43:20+00:00,560749
3025465,26,10_UOV_0,2011-11-04 23:00:00+00:00,560749
3032460,0,01_HOOFD_0,2010-11-08 08:28:28+00:00,560696
3032460,1,01_HOOFD_1,2010-11-10 11:15:22+00:00,6
3032460,2,01_HOOFD_1,2010-11-28 23:00:00+00:00,2013365
3032460,3,05_EIND_0,2010-11-29 07:59:43+00:00,2013365
3032460,4,01_HOOFD_1,2010-11-29 08:00:48+00:00,2013365
3032460,5,01_HOOFD_2,2010-11-29 08:58:10+00:00,2013365
3032460,6,09_AH_I_0,2010-11-29 08:58:15+00:00,2013365
3032460,7,01_HOOFD_3,2010-11-29 08:58:22+00:00,2013365
3032460,8,01_HOOFD_4,2010-11-29 08:58:40+00:00,2013365
3032460,9,06_VD_0,2010-11-29 09:06:54+00:00,2013365
3032460,10,01_HOOFD_5,2010-11-30 23:00:00+00:00,560741
3032460,11,01_HOOFD_4,2010-11-30 23:00:00+00:00,560741
3032460,12,01_HOOFD_0,2010-12-01 08:42:28+00:00,560741
3032460,13,01_HOOFD_4,2010-12-01 08:42:53+00:00,560741
3032460,14,01_HOOFD_5,2010-12-21 13:50:24+00:00,560741
3033681,0,01_HOOFD_0,2010-10-13 22:00:00+00:00,560741
3033681,1,01_HOOFD_1,2010-10-13 22:00:00+00:00,2013365
3033681,2,01_HOOFD_0,2010-10-18 22:00:00+00:00,2013365
3033681,3,01_HOOFD_0,2010-10-19 13:50:18+00:00,560741
3033681,4,08_AWB45_0,2010-11-14 23:00:00+00:00,2013365
3033681,5,06_VD_0,2010-11-14 23:00:00+00:00,560454
3033681,6,01_HOOFD_0,2010-11-15 09:41:05+00:00,2013365
3033681,7,04_BPT_0,2010-11-15 09:41:17+00:00,2013365
3033681,8,01_HOOFD_0,2010-11-15 09:41:22+00:00,2013365
3033681,9,01_HOOFD_1,2010-11-15 09:47:15+00:00,2013365
3033681,10,01_HOOFD_2,2010-11-15 09:47:21+00:00,2013365
3033681,11,08_AWB45_0,2010-11-15 09:47:31+00:00,2013365
3033681,12,08_AWB45_0,2010-12-19 23:00:00+00:00,560454
3033681,13,06_VD_0,2010-12-21 11:25:42+00:00,560454
3033681,14,08_AWB45_0,2010-12-21 11:25:57+00:00,560454
3033681,15,06_VD_0,2010-12-21 11:27:31+00:00,560454
3033681,16,06_VD_1,2010-12-21 11:27:40+00:00,560454
3033681,17,01_HOOFD_4,2010-12-21 23:00:00+00:00,560741
3033681,18,01_HOOFD_5,2010-12-21 23:00:00+00:00,560741
3033681,19,05_EIND_0,2010-12-22 13:43:15+00:00,560741
3033681,20,01_HOOFD_1,2010-12-22 13:43:29+00:00,560741
3033681,21,06_VD_1,2010-12-22 13:43:45+00:00,560741
3033681,22,01_HOOFD_1,2010-12-22 13:44:38+00:00,560741
3033681,23,01_HOOFD_2,2010-12-22 13:45:17+00:00,560741
3033681,24,09_AH_I_0,2010-12-22 13:45:26+00:00,560741
3033681,25,01_HOOFD_3,2010-12-22 13:45:36+00:00,560741
3033681,26,01_HOOFD_4,2010-12-22 13:46:33+00:00,560741
3033681,27,01_HOOFD_5,2010-12-22 14:04:05+00:00,560741
3034472,0,01_HOOFD_0,2010-10-19 14:03:32+00:00,560741
3034472,1,01_HOOFD_1,2010-10-21 22:00:00+00:00,560454
