trace_id,event_id,timestamp,activity,resource
Case1,0,2012-10-09 11:50:17+00:00,Assign seriousness,Value 1
Case1,1,2012-10-09 11:51:01+00:00,Take in charge ticket,Value 1
Case1,2,2012-10-12 12:02:56+00:00,Take in charge ticket,Value 2
Case1,3,2012-10-25 08:54:26+00:00,Resolve ticket,Value 1
Case1,4,2012-11-09 10:54:39+00:00,Closed,Value 3
Case2,0,2012-04-03 05:55:38+00:00,Assign seriousness,Value 4
Case2,1,2012-04-03 05:55:53+00:00,Take in charge ticket,Value 4
Case2,2,2012-04-05 06:15:52+00:00,Resolve ticket,Value 4
Case2,3,2012-05-19 06:00:28+00:00,Closed,Value 5
Case3,0,2010-10-29 07:14:06+00:00,Assign seriousness,Value 6
Case3,1,2010-11-03 14:16:11+00:00,Take in charge ticket,Value 7
Case3,2,2010-11-03 14:21:17+00:00,Resolve ticket,Value 7
Case3,3,2010-11-30 09:20:18+00:00,Closed,Value 5
Case4,0,2010-12-15 12:31:53+00:00,Assign seriousness,Value 8
Case4,1,2010-12-16 06:01:07+00:00,Take in charge ticket,Value 2
Case4,2,2010-12-16 06:08:19+00:00,Resolve ticket,Value 2
Case4,3,2011-02-12 12:40:42+00:00,Closed,Value 5
Case5,0,2012-04-03 10:08:32+00:00,Assign seriousness,Value 9
Case5,1,2012-04-03 10:45:33+00:00,Take in charge ticket,Value 10
Case5,2,2012-04-03 10:47:22+00:00,Resolve ticket,Value 10
Case5,3,2012-04-03 11:15:02+00:00,Take in charge ticket,Value 10
Case5,4,2012-04-03 13:07:28+00:00,Resolve ticket,Value 10
Case5,5,2012-05-25 10:10:28+00:00,Closed,Value 5
Case6,0,2011-10-25 12:13:58+00:00,Assign seriousness,Value 2
Case6,1,2011-10-25 12:58:55+00:00,Take in charge ticket,Value 2
Case6,2,2011-10-26 06:54:46+00:00,Resolve ticket,Value 2
Case6,3,2011-12-10 14:20:56+00:00,Closed,Value 5
Case7,0,2013-11-06 08:47:35+00:00,Assign seriousness,Value 1
Case7,1,2013-11-06 08:48:53+00:00,Assign seriousness,Value 1
Case7,2,2013-11-22 06:00:08+00:00,Assign seriousness,Value 2
Case7,3,2013-11-25 06:18:07+00:00,Take in charge ticket,Value 11
